date,pageTitle,country,deviceCategory,browser,city,pagePath,sessionSource,activeUsers,newUsers,screenPageViews,engagedSessions,averageSessionDuration,bounceRate,eventCount,userEngagementDuration,sessions,conversions
2025-04-26,Biblioteca Lúdica | Ludoteca en la Nube,Spain,desktop,Safari,(not set),/biblioteca/,(direct),1,0,1,1,5.190331,0,1,0,1,0
2025-04-29,Aprender Geografía | Ludoteca en la Nube,Spain,desktop,Chrome,Madrid,/geografia/,(direct),1,0,1,1,1.411364,0,2,1,1,0
2025-04-29,Aprender con Trabalenguas | Ludoteca en la Nube,Spain,desktop,Chrome,Madrid,/trabalenguas/,(direct),1,0,1,1,7.540028,0,3,7,1,0
2025-04-29,Biblioteca Lúdica | Ludoteca en la Nube,Spain,desktop,Chrome,Madrid,/biblioteca/,(direct),1,0,1,1,71.111728,0,3,11,1,0
2025-04-29,El Juego del Mundo | Ludoteca en la Nube,Spain,desktop,Chrome,Madrid,/geografia/juego-del-mundo/,(direct),1,0,1,1,5.670945,0,1,0,1,0
2025-04-29,El Juego del Mundo | Ludoteca en la Nube,Spain,mobile,Chrome,(not set),/geografia/juego-del-mundo/,(direct),1,1,1,1,455.34295,0,4,450,1,0
2025-04-29,El Juego del Mundo | Ludoteca en la Nube,Spain,mobile,Safari (in-app),(not set),/geografia/juego-del-mundo/,linkedin.com,1,1,1,0,0,1,3,0,1,0
2025-04-29,El Juego del Mundo | Ludoteca en la Nube,Spain,mobile,Safari (in-app),Madrid,/geografia/juego-del-mundo/,linkedin.com,1,1,1,0,0,1,3,0,1,0
2025-05-03,Aprender Contando Chistes | Ludoteca en la Nube,Spain,desktop,Safari,Madrid,/chistes/,(direct),1,0,1,1,9.120716,0,1,0,1,0
2025-05-03,Ludoteca En La Nube | Aprender Jugando y Sin Anuncios,Spain,desktop,Safari,Madrid,/,(direct),1,0,1,1,0,0,2,0,1,0
2025-05-08,Aprender Geografía | Ludoteca en la Nube,Spain,desktop,Safari,Madrid,/geografia/,(direct),1,0,1,1,2.298994,0,2,2,1,0
2025-05-08,Aprender Ofimáctica Jugando con las Apps de Google | Ludoteca en la Nube,Spain,desktop,Chrome,(not set),/google/,bing,1,1,1,1,986.959832,0,5,2,1,0
2025-05-08,Biblioteca Lúdica | Ludoteca en la Nube,Spain,desktop,Safari,Madrid,/biblioteca/,(direct),1,0,1,1,3.429881,0,3,3,1,0
2025-05-08,El Juego del Mundo | Ludoteca en la Nube,Spain,desktop,Safari,Madrid,/geografia/juego-del-mundo/,(direct),1,0,2,1,2.566942,0.5,3,0,2,0
2025-05-08,El Juego del Mundo | Ludoteca en la Nube,Spain,mobile,Chrome,Granada,/geografia/juego-del-mundo/,(direct),1,1,1,1,92.358835,0,5,45,1,0
2025-05-09,42 el juego | Ludoteca en la Nube,Spain,desktop,Chrome,Madrid,/juegos-de-mesa/42-el-juego/,(direct),1,0,1,1,211.063338,0,2,16,1,0
2025-05-09,Aprender Geografía | Ludoteca en la Nube,Spain,desktop,Chrome,Madrid,/geografia/,(direct),1,0,1,1,1.060754,0,2,1,1,0
2025-05-09,Aprender Matemáticas en Construcción | Ludoteca en la Nube,Spain,desktop,Chrome,Madrid,/matematicas/,(direct),1,0,1,1,6.828855,0,2,2,1,0
2025-05-09,Aprender con Emojis | Ludoteca En La Nube,Spain,desktop,Chrome,Madrid,/acertijos/emojis/,(direct),1,0,88,4,652.20563425,0,97,33,4,0
2025-05-09,Aprender con nuestros Acertijos y puzzles | Ludoteca en al Nube,Spain,desktop,Chrome,Madrid,/acertijos/,(direct),1,0,2,1,1.189926,0,3,1,1,0
2025-05-09,Aprender con nuestros Juegos de Mesa en Digital | Ludoteca en la Nube,Spain,desktop,Chrome,Madrid,/juegos-de-mesa/,(direct),1,0,1,1,1.105711,0,2,1,1,0
2025-05-09,El Juego del Mundo | Ludoteca en la Nube,Spain,desktop,Chrome,Madrid,/geografia/juego-del-mundo/,(direct),1,0,2,1,15.826654,0,4,23,1,0
2025-05-09,Jugando con Geomtería | Ludoteca En La Nube,Spain,desktop,Chrome,Madrid,/matematicas/buscando-figuras/index.html,(direct),1,2,92,4,345.9961765,0,111,282,4,0
2025-05-13,Aprender Contando Chistes | Ludoteca en la Nube,Spain,desktop,Chrome,Madrid,/chistes/,(not set),1,0,1,0,0,1,2,9,1,0
2025-05-13,Aprender Matemáticas en Construcción | Ludoteca en la Nube,Spain,desktop,Chrome,Madrid,/matematicas/,(direct),1,0,1,1,0,0,2,2,1,0
2025-05-13,Aprender con Emojis | Ludoteca En La Nube,Spain,desktop,Chrome,Madrid,/acertijos/emojis/,(not set),1,0,2,0,367.187033,1,4,169,1,0
2025-05-13,Aprender con Juegos de Lógica en Construcción | Ludoteca en la Nube,Spain,desktop,Chrome,Madrid,/juegos-de-logica/,(direct),1,0,1,1,167.881986,0,2,1,1,0
2025-05-13,Aprender con nuestros Acertijos y puzzles | Ludoteca en al Nube,Spain,desktop,Chrome,Madrid,/acertijos/,(not set),1,0,1,0,0,1,2,1,1,0
2025-05-13,Jugando con Geomtería | Ludoteca En La Nube,Spain,desktop,Chrome,Madrid,/matematicas/buscando-figuras/index.html,(direct),1,0,439,1,82657.652823,0,474,156,1,0
2025-05-13,Ludoteca En La Nube | Aprender Jugando y Sin Anuncios,Spain,desktop,Chrome,Madrid,/,(direct),1,0,3,1,1149.034909,0,6,9,1,0
2025-05-13,Ludoteca En La Nube | Aprender Jugando y Sin Anuncios,Spain,desktop,Chrome,Madrid,/,(not set),1,0,0,0,0,1,1,2,1,0
2025-04-16,Ludoteca En La Nube | Aprender Jugando y Sin Anuncios,Spain,desktop,Safari,Barcelona,/,(direct),0,0,1,0,0,1,2,0,1,0
2025-04-24,42 el juego | Ludoteca en la Nube,Spain,desktop,Chrome,Madrid,/juegos-de-mesa/42-el-juego/,(direct),0,0,0,0,0,1,2,0,1,0
2025-04-28,Biblioteca Lúdica | Ludoteca en la Nube,Spain,desktop,Safari,Madrid,/biblioteca/,(direct),0,0,1,0,0,1,2,0,1,0
2025-05-04,Aprender Contando Chistes | Ludoteca en la Nube,Spain,desktop,Safari,Madrid,/chistes/,(direct),0,0,1,0,0,1,2,0,1,0
2025-05-06,El Juego del Mundo | Ludoteca en la Nube,Spain,mobile,Safari,(not set),/geografia/juego-del-mundo/,(direct),0,0,1,0,0,1,2,0,1,0
2025-05-12,El Juego del Mundo | Ludoteca en la Nube,Spain,desktop,Safari,Madrid,/geografia/juego-del-mundo/,(direct),0,0,1,0,0,1,2,0,1,0
